1. English Sentence/Phrase,1. Twi Translation
What is going on here?,Ɛdeɛn na  ɛrekɔso wɔ aha?
Wake up,Sɔre
She comes here every Friday,Ɔba ha Fiada biara
Learn to be wise,Sua nyansa
I didn’t think you would loose your way,Mannwene da sɛ wo bɛyera
If you like to enter more than five pair of sentences for english,Sɛ wo pɛ sɛ wo tintim brɔfo ne twi nsɛmfua nnum ne akyire a
My kids are worrying me.,Me mma reha m'adwene
I am Simeon,Me ne Simeon
Think about yourself,Dwene wo ho
This is good news,Eyi yɛ asɛm papa
Give that to your brother,Fa ɛno ma wo nua barima no
I love you,Me dɔ wo
Love is all we need,Ɔdɔ nko ara na yɛ hia
How are you?,Wo ho te sɛn?
I love you,Me dɔ wo
I love you.,Me dɔ wo.
I like you very much,Me pɛ w'asɛm pa ara
Come,bra
Seeing is believing,Ɛsɛ w'ani
It's been long I saw you,Mehunuu wo akyɛre
Let's go and vote,Yɛnkɔ to aba
How come your mother couldn't attend church ?,3baa no sɛn na wo Maame amma asɔre?
Woman's vagina,Ɔbaa twɛ
What do you want here?,Ɛdeɛn na wo pɛ wɔ ha?
Once bitten twice shy,Deɛ ɔwɔ aka no suro sonsono
Obedience is better that sacrifice,Setie yɛ sen afɔrebɔ
God have mercy on your children,Onyame hu wo mma mmɔbɔ
Once bitten twice shy,Deɛ ɔwɔ aka no suro sonsono
They are tarnishing our image,Wɔresɛe yɛn din
I am tired,Mabrɛ
Take your time,To wo bo ase
Do you love me?,Wo dɔ me?
This is marvelous in our eyes,Na yei yɛ nwanwa yɛn ani so
I Love you,Me dɔ wo
me too,Me nso saa ara
villager,okuraseni
I am going to school,Merekɔ sukuu
How are you,ɛte sɛn
sweet heart,M'akoma mu tɔfe
God’s Grace,Onyame adom
"Go and pluck some,it is sweet","Kɔte bi,ɛyɛ dɛ"
I’m hungry,3kɔm de me
My name is Afia Serwaa,Me din de Afia Serwaa
I’m going to be successful,Mɛdi nkunim
It pays to wait.,Abotrɛ wie nkunimdie
That is amazing!,Ɛyɛ me nwanwa!
It is raining,Osu retɔ
He has leukaemia.,Ɔwɔ mogya mu kokram
Come home.,Bra fie.
I'm going to buy oranges.,Me rekɔtɔ ankaa.
This is the money,Sika no nie
It is true,Ɛyɛ ampa
What is your name?,Wo din de sen?
Why,Adɛn
I am going to sleep,Merekɔ akɔ da
Everything will be fine.,Biribiara bɛyɛ yie.
Everything will be alright.,Biribiara bɛyɛ yie.
please,Mepa wo kyɛw
everyone is well,obiara ho yɛ
it is well,na ɛyɛ
food is ready,yɛasiesie aduane ama wo
