file,output,skipped,ok,msg,pre_snr_db,post_snr_db,snr_improvement_db,spec_dist,method,params
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (1).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (1).aff45104.wav,FALSE,TRUE,ok,18.7351174,82.89427831,64.1591609,108.5844715,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (10).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (10).aff45104.wav,FALSE,TRUE,ok,15.36093521,48.3754969,33.01456169,69.44197199,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (100).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (100).aff45104.wav,FALSE,TRUE,ok,14.03619984,36.19278191,22.15658207,69.86367232,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (101).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (101).aff45104.wav,FALSE,TRUE,ok,18.34574861,59.22413501,40.8783864,92.25423338,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (102).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (102).aff45104.wav,FALSE,TRUE,ok,15.08418624,44.63105553,29.54686929,66.81617249,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (103).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (103).aff45104.wav,FALSE,TRUE,ok,16.2459928,51.94540189,35.69940909,74.36284712,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (104).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (104).aff45104.wav,FALSE,TRUE,ok,18.59668469,75.76547653,57.16879184,114.1367885,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (105).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (105).aff45104.wav,FALSE,TRUE,ok,17.84467233,41.76840619,23.92373386,69.09808244,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (106).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (106).aff45104.wav,FALSE,TRUE,ok,12.91854121,37.88300222,24.964461,69.92812436,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (107).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (107).aff45104.wav,FALSE,TRUE,ok,12.07063417,41.31253828,29.24190411,74.16302026,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
