rel_path,ext,format,subtype,channels,sample_rate,duration_sec,file_size_bytes,source_domain
Ghana_immigration_service_vs_mpentuase (1).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (10).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (100).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (101).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (102).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (103).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (104).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (105).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (106).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (107).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (11).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (12).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (13).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (14).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (15).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (16).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (17).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (18).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
